City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
563,Buloh Kasap,MY,78.71,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
564,Lucena,PH,73.69,broken clouds,13.9314,121.6172,The Star Garden Tower Hotel
566,Pasni,PK,75.83,clear sky,25.2631,63.471,Kashmiri Hotal
569,Tanout,NE,80.22,overcast clouds,14.9709,8.8879,
578,Tauramena,CO,88.25,overcast clouds,5.0183,-72.7492,"Hotel Palmarito - Hospedaje en Tauramena, Casanare"
579,Kalabo,ZM,83.66,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
580,Kabalo,CD,76.89,scattered clouds,-6.05,26.9167,
581,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
583,Porto Novo,BJ,87.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
588,Mongoumba,CF,79.34,broken clouds,3.6415,18.5936,
590,Kualakapuas,ID,73.56,overcast clouds,-3.0091,114.3876,Guest House Izonk
592,Kigoma,TZ,81.19,few clouds,-4.8769,29.6267,MJI Mwema Lodge
595,Maues,BR,86.05,broken clouds,-3.3836,-57.7186,Hotel Miramar
612,Liwale,TZ,74.97,overcast clouds,-9.7667,37.9333,Samoma lodge
616,Masuguru,TZ,89.31,scattered clouds,-11.3667,38.4167,
617,Nieuw Amsterdam,SR,86.16,broken clouds,5.8833,-55.0833,Hotel Stardust
618,Davila,PH,73.42,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
619,Formosa Do Rio Preto,BR,72.37,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
622,San Jose De Ocoa,DO,84.56,scattered clouds,18.55,-70.5,Hotel El Barcon
624,Sechura,PE,76.66,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
626,Vega De Alatorre,MX,77.27,clear sky,20.0333,-96.6333,El Polo Norte
628,Lorengau,PG,82.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
629,Gondanglegi,ID,75.61,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
630,Keti Bandar,PK,74.25,clear sky,24.1447,67.4497,Haji laloo memon house
631,Sumenep,ID,78.48,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
635,Goure,NE,85.01,clear sky,13.9835,10.2704,
637,Tekkali,IN,70.81,moderate rain,18.6167,84.2333,Trinath Gantayat
638,Kisanga,TZ,76.64,light rain,-7.4362,37.7034,
639,San Onofre,CO,86.81,overcast clouds,9.7359,-75.5263,Hotel Sinai
640,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
644,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
649,Paciran,ID,78.24,heavy intensity rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
653,Richards Bay,ZA,73.27,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
657,Cayenne,GF,80.64,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
663,Santa Rosa,PH,77.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
665,Soyo,AO,73.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
666,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
669,Manaus,BR,84.7,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
671,Coari,BR,89.31,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
672,Cruzeiro,BR,89.56,scattered clouds,-22.5761,-44.9628,Hotel Pousada Emaús
675,Yanam,IN,77.4,light rain,16.7333,82.2167,The Regency Hotel
677,Gwadar,PK,76.14,clear sky,25.1216,62.3254,Sadaf Resort
680,Kikwit,CD,73.58,light rain,-5.041,18.8162,HOTEL PLACE YALABA
