City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
213,Stokmarknes,NO,68.5646,14.9108,18.37,65,0,6.35,clear sky
214,Murliganj,IN,25.9,86.9833,66.24,73,29,4.29,scattered clouds
215,Barntrup,DE,51.9904,9.1164,39.43,96,98,12.15,overcast clouds
216,Yulara,AU,-25.2406,130.9889,67.84,64,90,17.27,overcast clouds
217,Liverpool,GB,53.4106,-2.9779,46.78,79,75,15.01,broken clouds
218,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,96,8.48,overcast clouds
219,Shenjiamen,CN,29.9576,122.298,56.64,55,82,5.95,broken clouds
220,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,14.97,scattered clouds
221,Sabzevar,IR,36.2126,57.6819,38.79,78,0,0.63,clear sky
222,Nanortalik,GL,60.1432,-45.2371,34.92,98,99,22.17,moderate rain
223,San Cristobal,VE,7.7669,-72.225,73.58,80,57,2.06,broken clouds
224,Borogontsy,RU,62.6683,131.1683,-18.09,97,99,4.9,overcast clouds
225,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,overcast clouds
226,Yar-Sale,RU,66.8333,70.8333,-22.99,98,24,3.44,few clouds
227,Turukhansk,RU,65.8167,87.9833,-29.31,100,100,2.89,overcast clouds
228,Karlskrona,SE,56.1616,15.5866,32.45,81,99,19.19,overcast clouds
229,Wawa,NG,9.9022,4.4192,75.81,27,55,6.24,broken clouds
230,Lagoa,PT,39.05,-27.9833,63.39,82,63,9.64,broken clouds
231,Vao,NC,-22.6667,167.4833,76.53,84,85,17.45,overcast clouds
232,Buchanan,LR,5.8808,-10.0467,78.76,84,65,3.8,broken clouds
233,Tuatapere,NZ,-46.1333,167.6833,53.82,94,100,10.87,light rain
234,Pevek,RU,69.7008,170.3133,-26.48,99,84,4.25,broken clouds
235,Lorengau,PG,-2.0226,147.2712,84.51,78,100,18.99,heavy intensity rain
236,Flin Flon,CA,54.7682,-101.865,-0.56,78,75,3.44,broken clouds
237,Tual,ID,-5.6667,132.75,81.07,85,100,15.73,moderate rain
238,Havelock,US,34.8791,-76.9013,62.55,85,75,0.0,broken clouds
239,Boguchany,RU,58.3814,97.4531,18.54,81,100,12.64,overcast clouds
240,Sinnamary,GF,5.3833,-52.95,77.23,90,89,9.46,overcast clouds
241,Vega De Alatorre,MX,20.0333,-96.6333,74.48,82,16,3.44,few clouds
242,Cockburn Town,TC,21.4612,-71.1419,80.06,75,42,21.9,scattered clouds
243,Valkla,EE,59.4744,25.3186,23.14,91,98,9.84,light snow
244,Pozzallo,IT,36.7305,14.8499,47.05,70,0,10.71,clear sky
245,Clyde River,CA,70.4692,-68.5914,12.43,92,100,35.68,light snow
246,Douentza,ML,14.9951,-2.9517,73.58,14,87,4.47,overcast clouds
247,Ponta Delgada,PT,37.7333,-25.6667,63.5,82,75,2.3,broken clouds
248,Adra,ES,36.7496,-3.0206,62.46,60,0,5.01,clear sky
249,Djougou,BJ,9.7085,1.666,74.79,19,98,5.48,overcast clouds
250,Beloit,US,42.5084,-89.0318,37.35,47,90,4.61,overcast clouds
251,Warrington,GB,53.3925,-2.5802,45.99,81,75,4.0,broken clouds
252,Pereslavl-Zalesskiy,RU,56.7393,38.8563,10.02,100,97,3.78,overcast clouds
253,Aras,ES,42.5617,-2.356,43.21,71,20,8.05,few clouds
254,Aksu,CN,41.1231,80.2644,26.31,46,100,0.25,overcast clouds
255,Amberley,US,39.2048,-84.428,46.04,58,1,0.0,clear sky
256,Elesbao Veloso,BR,-6.2019,-42.1403,72.59,95,98,2.93,overcast clouds
257,Aksarka,RU,66.5606,67.7975,-29.42,98,7,5.46,clear sky
258,Adrar,MR,20.5022,-10.0711,65.08,17,87,11.25,overcast clouds
259,Panlaitan,PH,12.1191,119.8486,80.2,70,86,5.01,overcast clouds
260,Laguna,US,38.421,-121.4238,71.22,97,90,0.0,mist
261,Pacific Grove,US,36.6177,-121.9166,62.42,80,75,1.01,broken clouds
262,Guerrero Negro,MX,27.9769,-114.0611,64.81,76,100,19.95,overcast clouds
263,Olenegorsk,RU,68.15,33.3,-5.87,100,91,2.77,overcast clouds
264,Grand-Lahou,CI,5.1367,-5.0242,80.02,84,76,7.94,broken clouds
